Title,Category,Language,Site,Level,Price,Rating,Duration,Skills,Number of viewers,Instructors,Program Type
Achieving Personal and Professional Success Specialization,Personal Development,English,Coursera,Intermediate,855,4.7,4,"goal setting, Happiness, Personality Development, Personal Development, Communication, Negotiation, Deception, ",2296,"Richard Shell ,Maurice Schweitzer ,Stewart D.  Friedman ,Cade Massey ,",Free Course
Regulatory Compliance Specialization,Business,English,Coursera,Intermediate,855,4.8,4,"Risk Management, Business Strategy, Compliance, Human Resources Management, Brand Management, Strategic Planning, Management, Organizational Behavior, Information Privacy, Data Management, Privacy Compliance, Operations Management, ",1789,"Andrew Kandel ,Lauren Steinfeld ,",Free Course
"TESOL Certificate, Part 1: Teach English Now! Specialization",Language Learning,English,Coursera,Intermediate,855,4.9,6,"Education, Online Learning, ",9201,"Emilia Gracia ,Dr. Justin Shewell ,Andrea Mürau Haraway ,Dr. Shane Dixon ,Jessica Cinco ,",Free Course
Financial Engineering and Risk Management Specialization,Business,English,Coursera,Intermediate,855,4.5,7,"Quantitative Analysis, Asset Allocation, Algorithmic Trading, Portfolio Optimization, Mathematical Finance, Derivatives, Swaps and options, Fixed Income, Binomial Distribution, black scholes model, model calibration, modeling and pricing Credit Default Swaps, ",145,"Garud Iyengar ,Ali Hirsa ,Martin Haugh ,",Free Course
UI / UX Design Specialization,Arts and Humanities,English,Coursera,Intermediate,855,4.7,4,"Website Wireframe, strategy, User Interface Design (UI Design), User Experience (UX), User Research, Graphic Design, Adobe XD, Adobe Illustrator, InVision, Marvel, Adobe Indesign, Treejack, ",6349,"Michael Worthington ,Roman Jaster ,",Free Course
"Product Ideation, Design, and Management Specialization",Business,English,Coursera,Intermediate,855,4.5,5,"Product Development, Ideation, Product Management, product design, Innovation, Market Analysis, Entrepreneurship, Competitive Analysis, Customer Development, Marketing, Leadership, User Experience (UX), ",237,"Dr. James V. Green ,Cait von Schnetlage ,Michael R. Pratt ,",Free Course
Financial Analysis - Skills for Success Specialization,Business,English,Coursera,Intermediate,855,4.6,3,"Accounting, Scenario Analysis, financial statement analysis, Strategic Management, Finance, Risk, Financial Analysis, Financial Statement, Planning, Decision-Making, Data Analysis, Budget, ",65,"Gies College of Business, University of Illinois ,",Free Course
Creative Writing Specialization,Arts and Humanities,English,Coursera,Intermediate,855,4.7,6,"Short Story Writing, Fiction Writing, Creativity, Copy Editing, ",4819,"Brando Skyhorse ,Amy Bloom ,Amity Gaige ,Salvatore Scibona ,",Free Course
Data Structures and Algorithms Specialization,Computer Science,English,Coursera,Intermediate,855,4.6,8,"Debugging, Software Testing, Algorithms, Data Structure, Computer Programming, Dynamic Programming, Binary Search Tree, Priority Queue, Hash Table, Stack (Abstract Data Type), List, Graph Theory, ",12782,"Neil Rhodes ,Daniel M Kane ,Michael Levin ,Michael Levin ,Pavel  Pevzner ,Alexander S. Kulikov ,",Free Course
Software Product Management Specialization,Computer Science,English,Coursera,Intermediate,855,4.7,6,"Software Requirements, Product Management, Scrum, agile, Project Management, Agile Software Development, Software Product Management, Software Project Management, Lean Software Development, Software Development Process, Scrum (Software Development), User Story, ",8428,"Kenny Wong ,",Free Course
Foundations of Management Specialization,Business,English,Coursera,Intermediate,855,4.7,6,"Accounting, Leadership, Finance, Marketing, Financial Accounting, Financial Statement, Balance Sheet, Dupont Analysis, Management Accounting, Business Analysis, Management Styles, Management, ",1801,"Marc Badia ,Miguel Antón ,Mario Capizzani ,Anneloes Raes ,Carlos García Pont ,",Free Course
Genomic Data Science Specialization,Data Science,English,Coursera,Intermediate,855,4.4,6,"Bioinformatics, Statistics, Data Science, Computational Biology, Biopython, Python Programming, Genomics, Bioinformatics Algorithms, Algorithms, Algorithms On Strings, Samtools, Unix, ",5102,"Steven Salzberg, PhD ,Jeff Leek, PhD ,Mihaela Pertea, PhD ,Ben Langmead, PhD ,Jacob Pritt ,Liliana Florea, PhD ,Kasper Daniel Hansen, PhD ,",Free Course
Methods and Statistics in Social Sciences Specialization,Social Sciences,English,Coursera,Intermediate,855,4.6,10,"Statistics, Statistical Inference, R Programming, Qualitative Research, Confidence Interval, Statistical Hypothesis Testing, Regression Analysis, Analysis Of Variance (ANOVA), ",3953,"Annemarie Zand Scholten ,Gerben Moerman ,Matthijs Rooduijn ,Emiel van Loon ,",Free Course
"NoSQL, Big Data, and Spark Foundations Specialization",Information Technology,English,Coursera,Intermediate,855,4.3,4,"Apache Hadoop, Mongodb, Big Data, Apache Spark, NoSQL Databases, NoSQL, Cloud Database, Cloudant, Cassandra, SparkSQL, SparkML, ",102,"Rav Ahuja ,Ramesh Sannareddy ,Steve Ryan ,Karthik Muthuraman ,Aije Egwaikhide ,Romeo Kienzler ,",Free Course
Think like a CFO Specialization,Business,English,Coursera,Intermediate,855,4.8,6,"Financial Accounting, Accounting, Financial Statement, Balance Sheet, Dupont Analysis, Management Accounting, Business Analysis, Finance, Corporate Finance, Financial Risk, Evaluation, Investment, ",518,"Marc Badia ,Miguel Antón ,Javier Estrada ,",Free Course
TensorFlow: Advanced Techniques Specialization,Data Science,English,Coursera,Intermediate,855,4.8,5,"Model Interpretability, Custom Training Loops, Custom and Exotic Models, Generative Machine Learning, Object Detection, Functional API, Custom Layers, Custom and Exotic Models with Functional API, Custom Loss Functions, Distribution Strategies, Basic Tensor Functionality, GradientTape for Optimization, ",1157,"Laurence Moroney ,Eddy Shyu ,",Free Course
"Data Engineering, Big Data, and Machine Learning on GCP Specialization",Data Science,English,Coursera,Intermediate,855,4.6,4,"Tensorflow, Bigquery, Google Cloud Platform, Cloud Computing, ",12174,"Google Cloud Training ,",Free Course
